class,tags,user,url
ARTE/LITERATURA,"book jacket, dust cover, dust jacket, dust wrapper",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage1/t0.0-17/OBPTH/d3da1c9e4d1a11e2982122000a1f8c32_6.jpg
ARTE/LITERATURA,comic book,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xfp1/t51.2885-15/s306x306/e15/1741447_216733668530015_602630810_n.jpg
AUTOMOVIL/MOTOR,"cab, hack, taxi, taxicab",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage5/t0.0-17/OBPTH/08252c42d04211e1acff22000a1e8b23_6.jpg
AUTOMOVIL/MOTOR,"cab, hack, taxi, taxicab",MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage10/t0.0-17/OBPTH/e9297f1e412f11e2a77f22000a9e29a0_6.jpg
AUTOMOVIL/MOTOR,"fire screen, fireguard",MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/s306x306/e15/1390374_573241792729976_677679370_n.jpg
AUTOMOVIL/MOTOR,tractor,MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xap1/outbound-distilleryimage1/t0.0-17/OBPTH/35473d5c05be11e3b67922000aaa047d_6.jpg
AUTOMOVIL/MOTOR,"racer, race car, racing car",CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xpf1/t51.2885-15/s306x306/e15/1209449_221646108010490_1414127228_n.jpg
AUTOMOVIL/MOTOR,"fire engine, fire truck",MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage4/t0.0-17/OBPTH/0702b6a6583f11e2a1bd22000a9f1361_6.jpg
AUTOMOVIL/MOTOR,"sports car, sport car",LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/s306x306/e15/927862_235203576664269_1939796263_n.jpg
AUTOMOVIL/MOTOR,go-kart,CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xap1/outbound-distilleryimage4/t0.0-17/OBPTH/d0731590a06e11e2b9da22000a1faf53_6.jpg
BELLEZA/COSMETICA,"sunscreen, sunblock, sun blocker",MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xap1/outbound-distilleryimage5/t0.0-17/OBPTH/22feec2cb29711e39edb0e8698020099_6.jpg
BELLEZA/COSMETICA,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpf1/t51.2885-15/s306x306/e15/10268777_559291990853785_1770871397_n.jpg
BELLEZA/COSMETICA,"lipstick, lip rouge",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage11/t0.0-17/OBPTH/db2bfc14ddbc11e288f622000a1fbc72_6.jpg
BELLEZA/COSMETICA,lotion,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10852620_1520075828243482_437778806_n.jpg
BELLEZA/COSMETICA,"sunscreen, sunblock, sun blocker",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpf1/t51.2885-15/s306x306/e15/1889225_1425531484352843_552849715_n.jpg
BELLEZA/COSMETICA,lotion,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/10666107_323790857803879_728786155_n.jpg
BELLEZA/COSMETICA,lotion,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage9/t0.0-17/OBPTH/5e7dda36a31311e283e322000aa8200d_6.jpg
BELLEZA/COSMETICA,face powder,MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10802694_667785210008148_1509184506_n.jpg
BELLEZA/COSMETICA,lotion,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/s306x306/e15/928222_281269378706414_235718723_n.jpg
BELLEZA/COSMETICA,bib,MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage6/t0.0-17/OBPTH/75ccf524a61811e38764127aa3594b92_6.jpg
BELLEZA/COSMETICA,"sunscreen, sunblock, sun blocker",LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/916339_1376673242583670_1469054959_n.jpg
BELLEZA/COSMETICA,umbrella,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage4/t0.0-17/OBPTH/f73f524e95cc11e2bf5922000a1f8cdc_6.jpg
BELLEZA/COSMETICA,"lipstick, lip rouge",MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xfp1/t51.2885-15/s306x306/e15/10546759_585692848207549_1553660561_n.jpg
BELLEZA/COSMETICA,lotion,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xfp1/t51.2885-15/s306x306/e15/10560951_1513634162184805_891636707_n.jpg
COMIDA/RESTAURACION,"restaurant, eating house, eating place, eatery",LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage2/t0.0-17/OBPTH/c9381918d36b11e1a3f21231381b41e4_6.jpg
COMIDA/RESTAURACION,"bagel, beigel",MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xap1/outbound-distilleryimage5/t0.0-17/OBPTH/bdeda444b30c11e1a9f71231382044a1_6.jpg
COMIDA/RESTAURACION,potpie,BARACK OBAMA,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage3/t0.0-17/OBPTH/adb160766dec11e180c9123138016265_6.jpg
COMIDA/RESTAURACION,trifle,MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xfp1/outbound-distilleryimage0/t0.0-17/OBPTH/fbbcaf144f9b11e2ade722000a1faea4_6.jpg
COMIDA/RESTAURACION,eggnog,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xfa1/outbound-distilleryimage6/t0.0-17/OBPTH/7eb7fc1e4b5211e29dbc22000a1f9e59_6.jpg
COMIDA/RESTAURACION,cup,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/10518280_258329217708307_1822420777_n.jpg
COMIDA/RESTAURACION,dough,MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage6/t0.0-17/OBPTH/17c0b1a6b81111e1989612313815112c_6.jpg
COMIDA/RESTAURACION,soup bowl,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage5/t0.0-17/OBPTH/c3c9fbf466a011e2afd722000a1f98d6_6.jpg
COMIDA/RESTAURACION,cup,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xfa1/outbound-distilleryimage7/t0.0-17/OBPTH/9c0c414cced511e29aee22000a9f38e6_6.jpg
COMIDA/RESTAURACION,eggnog,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage6/t0.0-17/OBPTH/959f18d234f911e2b1d222000a1fb859_6.jpg
COMIDA/RESTAURACION,plate,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/10597420_925554270792600_368389442_n.jpg
COMIDA/RESTAURACION,plate,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/10387890_355079564639169_2082525224_n.jpg
COMIDA/RESTAURACION,"pineapple, ananas",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage1/t0.0-17/OBPTH/c082c214449f11e2974222000a1fbdac_6.jpg
COMIDA/RESTAURACION,"butcher shop, meat market",LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xap1/outbound-distilleryimage11/t0.0-17/OBPTH/51204608f60211e1ac3122000a1cdeaf_6.jpg
COMIDA/RESTAURACION,lemon,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xfa1/outbound-distilleryimage6/t0.0-17/OBPTH/99e4565a7ecd11e2900e22000a1f96c7_6.jpg
DECORACION/MOBILIARIO,"candle, taper, wax light",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage6/t0.0-17/OBPTH/9fda9fb0a43811e3969712287d5b8d46_6.jpg
DECORACION/MOBILIARIO,"candle, taper, wax light",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpf1/t51.2885-15/s306x306/e15/10005452_283829538447755_863600189_n.jpg
DECORACION/MOBILIARIO,sliding door,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage10/t0.0-17/OBPTH/6c416c38df7211e1a3361231381f344b_6.jpg
DECORACION/MOBILIARIO,"plane, carpenter\'s plane, woodworking plane",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/s306x306/e15/925168_628356573880577_1128038888_n.jpg
DECORACION/MOBILIARIO,"candle, taper, wax light",MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xap1/outbound-distilleryimage6/t0.0-17/OBPTH/78b5d8c0749d11e3a77d12344b67e8d2_6.jpg
DECORACION/MOBILIARIO,"caldron, cauldron",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage9/t0.0-17/OBPTH/1865c98265e611e39d520e090b3c8695_6.jpg
DECORACION/MOBILIARIO,folding chair,MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage11/t0.0-17/OBPTH/df8e2080674611e2962d22000a1f9aa0_6.jpg
DECORACION/MOBILIARIO,"studio couch, day bed",MIRANDA KERR,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/s306x306/e15/1389409_226085354227994_1727547818_n.jpg
DEPORTE,rugby ball,CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage5/t0.0-17/OBPTH/b88bb01ebd6411e2a8af22000a9f133c_6.jpg
DEPORTE,running shoe,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xfp1/outbound-distilleryimage10/t0.0-17/OBPTH/99945a7645f011e29d6522000a9f134c_6.jpg
DEPORTE,football helmet,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xfp1/t51.2885-15/s306x306/e15/1515558_1453593798193534_1285262430_n.jpg
DEPORTE,"ballplayer, baseball player",CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage1/t0.0-17/OBPTH/298fe95e234311e28d1322000a1fb079_6.jpg
DEPORTE,"racket, racquet",CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/s306x306/e15/10598746_316215965218420_1623828055_n.jpg
DEPORTE,"ballplayer, baseball player",CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xfp1/outbound-distilleryimage4/t0.0-17/OBPTH/ec8bb8469ca811e283d722000a1f99fc_6.jpg
DEPORTE,scoreboard,CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xfp1/t51.2885-15/s306x306/e15/10507795_606946322753573_1424832199_n.jpg
DEPORTE,"bearskin, busby, shako",CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xfp1/outbound-distilleryimage7/t0.0-17/OBPTH/858689e2922011e2bd6422000a9f12df_6.jpg
DEPORTE,scoreboard,BARACK OBAMA,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage3/t0.0-17/OBPTH/29c33190f6ef11e1b7b11231381b57d8_6.jpg
DEPORTE,"bearskin, busby, shako",LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage11/t0.0-17/OBPTH/4f371fcec57e11e1be6a12313820455d_6.jpg
DEPORTE,soccer ball,CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xfa1/outbound-distilleryimage8/t0.0-17/OBPTH/e40a563cb41311e2a74822000a9e2993_6.jpg
DEPORTE,"ballplayer, baseball player",CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xap1/outbound-distilleryimage1/t0.0-17/OBPTH/25e6277cf6de11e2b05d22000a1f9375_6.jpg
DEPORTE,"ballplayer, baseball player",CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xfp1/outbound-distilleryimage4/t0.0-17/OBPTH/469794be003a11e3bfc922000a9e08f9_6.jpg
DEPORTE,running shoe,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage6/t0.0-17/OBPTH/926c599a2c3e11e28d6622000a1fbc43_6.jpg
DEPORTE,rugby ball,CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xfp1/outbound-distilleryimage10/t0.0-17/OBPTH/bd17226a3c7411e2b28822000a9f1468_6.jpg
DEPORTE,"ballplayer, baseball player",CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xfa1/outbound-distilleryimage9/t0.0-17/OBPTH/2719a924eed811e290a322000a9f1438_6.jpg
DEPORTE,football helmet,CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage4/t0.0-17/OBPTH/5b92377aa52b11e3b56112c8cf378460_6.jpg
DEPORTE,basketball,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/10616433_296476050538521_1130350897_n.jpg
DEPORTE,basketball,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10853136_1587431801493379_223874309_n.jpg
DEPORTE,comic book,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/1170072_263131633838546_1182322051_n.jpg
DEPORTE,football helmet,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/s306x306/e15/914474_844974565524423_1296970708_n.jpg
DEPORTE,comic book,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xfa1/t51.2885-15/s306x306/e15/10914668_1530740127203911_1703613844_n.jpg
DEPORTE,torch,CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10005375_470283489738531_473928038_n.jpg
DEPORTE,rugby ball,CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage1/t0.0-17/OBPTH/77048e8ae4bb11e28a1a22000aa81ffa_6.jpg
DEPORTE,neck brace,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage5/t0.0-17/OBPTH/4e45c0780a0811e3816122000a1fbf6a_6.jpg
DEPORTE,tennis ball,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage6/t0.0-17/OBPTH/40ca35ba85dc11e2ae9022000a1f9a21_6.jpg
DEPORTE,running shoe,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xfa1/outbound-distilleryimage11/t0.0-17/OBPTH/2ae2e1c2874711e2982122000a1f8c32_6.jpg
DEPORTE,"ballplayer, baseball player",CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xap1/outbound-distilleryimage9/t0.0-17/OBPTH/46d920a8a5d811e2995622000a1f9812_6.jpg
DEPORTE,football helmet,CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/1208149_814787955217393_282118443_n.jpg
DEPORTE,soccer ball,CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage3/t0.0-17/OBPTH/d88d55f8c3c111e2bb3e22000a1fb8a8_6.jpg
DEPORTE,running shoe,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/s306x306/e15/10852778_1612500098969365_709777259_n.jpg
DEPORTE,rugby ball,CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/926931_1374409016153038_1002332868_n.jpg
DEPORTE,football helmet,CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xpa1/outbound-distilleryimage8/t0.0-17/OBPTH/f5a9c9b6a1fa11e2843f22000a9e0722_6.jpg
DEPORTE,basketball,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage7/t0.0-17/OBPTH/aeb2c674919811e2943422000a9f3095_6.jpg
DEPORTE,basketball,CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage0/t0.0-17/OBPTH/66bea03ab97611e2942f22000a9f140e_6.jpg
DEPORTE,reel,CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xap1/outbound-distilleryimage6/t0.0-17/OBPTH/4fa880f0ead611e2a58422000ae90d16_6.jpg
DEPORTE,torch,CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/s306x306/e15/926882_456150947824710_1774587976_n.jpg
DEPORTE,running shoe,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xap1/outbound-distilleryimage6/t0.0-17/OBPTH/d2bf590e45f011e2a30c22000a1f9683_6.jpg
DEPORTE,"golfcart, golf cart",LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xpf1/outbound-distilleryimage8/t0.0-17/OBPTH/4d3cb2a401f711e3879322000a9f1376_6.jpg
DEPORTE,football helmet,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/s306x306/e15/10735514_1534771150101228_156402_n.jpg
DEPORTE,basketball,MIRANDA KERR,http://scontent-b.cdninstagram.com/hphotos-xap1/outbound-distilleryimage3/t0.0-17/OBPTH/67e9b3d66fe311e39ddb1225a6ec8563_6.jpg
DEPORTE,comic book,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage7/t0.0-17/OBPTH/2cd94b323bfd11e28a3222000a9f17b2_6.jpg
DEPORTE,volleyball,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xpa1/t51.2885-15/s306x306/e15/1171934_242586575947466_1257855643_n.jpg
DEPORTE,toyshop,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xfa1/outbound-distilleryimage7/t0.0-17/OBPTH/7c4d71bea6e311e393c612ea443118ff_6.jpg
DEPORTE,football helmet,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10890526_314230995436026_443646740_n.jpg
DEPORTE,"swimming trunks, bathing trunks",CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xfp1/t51.2885-15/s306x306/e15/1515279_486197831495476_905571877_n.jpg
DEPORTE,rugby ball,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10852674_315989695260918_1361614652_n.jpg
DEPORTE,rugby ball,CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xaf1/outbound-distilleryimage6/t0.0-17/OBPTH/705d2a6cb72d11e287db22000aa803d4_6.jpg
DEPORTE,ping-pong ball,CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xfa1/outbound-distilleryimage7/t0.0-17/OBPTH/8efa327eacdf11e2914022000a9e0653_6.jpg
DEPORTE,basketball,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xap1/t51.2885-15/s306x306/e15/927429_277169052478047_42132776_n.jpg
DEPORTE,"balance beam, beam",LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xap1/l/t51.2885-15/s306x306/e15/1169785_573750946039012_142623747_n.jpg
DEPORTE,volleyball,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xfp1/outbound-distilleryimage11/t0.0-17/OBPTH/0b22adfe196911e3b83422000a1f9e4c_6.jpg
DEPORTE,volleyball,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10881913_1377628239203007_1629021550_n.jpg
DEPORTE,basketball,LEBRON JAMES,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/914751_778083675577520_54524222_n.jpg
DEPORTE,soccer ball,CRISTIANO RONALDO,http://scontent-b.cdninstagram.com/hphotos-xaf1/t51.2885-15/s306x306/e15/10802596_374412992722419_490929575_n.jpg
DEPORTE,toyshop,LEBRON JAMES,http://scontent-a.cdninstagram.com/hphotos-xpa1/t51.2885-15/s306x306/e15/928633_1440579966221727_694261282_n.jpg
DEPORTE,soccer ball,CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xfa1/t51.2885-15/s306x306/e15/1209622_249527375207166_854079247_n.jpg
DEPORTE,"bearskin, busby, shako",CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xfa1/outbound-distilleryimage6/t0.0-17/OBPTH/39a1391ad04011e28e2c22000a1fb747_6.jpg
DEPORTE,"ballplayer, baseball player",CRISTIANO RONALDO,http://scontent-a.cdninstagram.com/hphotos-xfa1/outbound-distilleryimage6/t0.0-17/OBPTH/5bd098008d7e11e287d022000a9f12ab_6.jpg
